               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.2352,              6.6411,              4.7645,           0.0011938,            0.013495,          0.00084807,          0.00036645,                   0,                   0,                   0,            0.070048,            0.003328,            0.003328
                   1,              4.0262,              5.1383,              3.4367,           0.0032152,             0.12664,           0.0071371,           0.0036207,                   0,                   0,                   0,            0.039982,           0.0065954,           0.0065954
                   2,              3.1244,              4.4477,              2.6641,             0.00496,             0.18252,            0.014273,           0.0068606,                   0,                   0,                   0,           0.0098501,           0.0097968,           0.0097968
                   3,              2.7995,              4.1485,              2.3637,             0.54336,            0.035093,            0.031455,            0.016204,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.6439,              3.9368,              2.2236,             0.61934,            0.050967,             0.04182,            0.022878,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.5353,              3.8201,              2.1494,             0.43388,            0.083493,            0.047409,            0.025358,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.4471,              3.6933,              2.0937,              0.4019,             0.08526,            0.062316,            0.035666,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               2.399,              3.5915,              2.0455,             0.41688,            0.094744,            0.071461,             0.04432,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.3533,              3.5112,              2.0087,             0.32525,             0.11847,            0.082977,            0.047787,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.3153,              3.4432,              1.9839,             0.38602,            0.095095,            0.084709,            0.049652,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.2848,              3.3803,              1.9559,             0.42175,             0.10159,            0.092518,            0.054511,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.2641,              3.3291,              1.9424,             0.33806,             0.12364,             0.10104,            0.059676,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.2405,              3.2864,              1.9249,             0.39792,             0.15154,             0.11732,            0.065393,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.2082,               3.238,              1.9056,             0.31131,             0.14031,             0.10962,            0.065904,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.1874,              3.2095,              1.8967,             0.24231,             0.14628,             0.10506,            0.061668,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.1743,              3.1536,              1.8782,             0.32341,             0.15544,             0.12648,             0.07523,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.1563,              3.1321,              1.8691,             0.26109,             0.15083,             0.13034,            0.078278,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.1375,              3.0983,              1.8498,              0.3103,             0.17185,             0.12904,            0.079424,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.1184,              3.0591,              1.8389,             0.30811,             0.15615,             0.13762,            0.083372,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.1203,              3.0364,              1.8352,             0.39597,             0.13583,             0.14257,            0.085074,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.0998,               3.015,              1.8282,             0.31416,               0.173,             0.14069,            0.086715,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              2.0936,              2.9763,              1.8236,             0.31761,             0.17376,             0.15885,            0.098177,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.0821,              2.9548,              1.8156,             0.37058,             0.18573,             0.16935,              0.1045,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.0562,              2.9288,              1.8028,             0.28386,             0.20122,             0.17411,             0.10819,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              2.0452,              2.9149,              1.7938,             0.37134,             0.16979,             0.16772,              0.1026,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              2.0486,              2.8916,              1.7935,             0.31022,             0.22714,             0.18284,             0.11381,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              2.0354,              2.8813,              1.7797,             0.33588,             0.22297,             0.18827,              0.1172,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              2.0246,              2.8588,              1.7828,             0.36967,             0.19665,             0.18343,             0.11184,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,               2.015,              2.8326,              1.7703,             0.27486,             0.21446,             0.19431,             0.12117,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              2.0049,              2.8056,              1.7605,             0.33406,             0.19927,             0.19642,             0.12224,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.9891,              2.7992,              1.7601,             0.34406,             0.20365,             0.20608,             0.12788,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.9957,              2.7781,              1.7548,             0.37612,             0.21471,             0.20813,             0.13107,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.9727,              2.7497,              1.7461,             0.37531,             0.20459,             0.20718,             0.13082,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.9753,              2.7282,              1.7385,             0.31723,             0.24249,             0.21383,             0.13583,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.9749,              2.7115,              1.7401,             0.39426,             0.22606,             0.22471,             0.14372,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.9726,              2.7175,              1.7333,             0.37498,             0.24549,             0.22929,              0.1428,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.9709,              2.6899,              1.7314,             0.36335,             0.23111,             0.22914,             0.14792,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.9483,              2.6844,              1.7284,             0.38661,             0.23659,             0.23431,             0.15075,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.9595,              2.6594,              1.7249,             0.39217,             0.23677,             0.23169,             0.14829,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.9402,              2.6569,              1.7228,             0.35549,             0.23386,             0.23347,             0.14932,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.9368,              2.6438,              1.7146,              0.3926,             0.24188,             0.24605,             0.15782,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.9294,              2.6437,              1.7172,             0.37381,             0.25634,             0.24898,              0.1619,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,                1.93,              2.6205,              1.7073,             0.46186,             0.21634,             0.24478,             0.15712,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,               1.917,              2.6032,               1.701,             0.42043,             0.25148,             0.25444,             0.16156,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.9186,              2.5975,              1.7053,              0.3912,             0.25204,             0.25304,             0.16383,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.9008,              2.5853,              1.6945,             0.36711,             0.25686,             0.25538,             0.16438,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,               1.902,              2.5761,              1.6931,             0.37162,             0.26881,             0.25553,             0.16312,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,               1.897,              2.5469,              1.6853,             0.39768,             0.24879,             0.25437,             0.16681,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,                 1.9,              2.5475,              1.6902,             0.39153,             0.24823,             0.25786,             0.17013,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,               1.887,              2.5389,              1.6884,             0.45946,             0.23736,             0.26468,             0.17135,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.8856,              2.5404,              1.6841,             0.42212,              0.2507,             0.26219,             0.17052,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.8891,              2.5138,              1.6836,             0.40091,             0.26339,             0.26895,             0.17811,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.8743,              2.5212,              1.6817,             0.39504,             0.25459,             0.26566,             0.17385,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,               1.874,              2.5098,              1.6734,             0.36008,             0.28783,              0.2668,             0.17719,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.8642,              2.4897,              1.6759,                0.42,             0.25602,             0.27188,             0.17755,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.8642,              2.4846,              1.6685,             0.37944,             0.27265,              0.2743,             0.17732,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
