Class,Images,Instances,P,R,mAP50,mAP50-95,P-Dropout,R-Dropout,mAP50-Dropout,mAP50-95-Dropout
carrot,400,49,0.32,0.0408,0.0514,0.0263,0,0,0.0384,0.019
hotdog,400,2,0.171,0.341,0.128,0.0401,0,0,0.29,0.112
pizza,400,27,0.557,0.556,0.594,0.428,0.425,0.444,0.462,0.337
donut,400,8,0.202,0.25,0.184,0.131,0.235,0.375,0.253,0.204
cake,400,25,0.231,0.132,0.0821,0.0443,0.194,0.135,0.0618,0.0317
chair,400,164,0.284,0.177,0.16,0.0835,0.233,0.104,0.114,0.0567
couch,400,19,0.405,0.368,0.411,0.262,0.381,0.263,0.286,0.173
pottedplant,400,18,0.458,0.377,0.263,0.146,0.333,0.333,0.256,0.15
bed,400,5,0.361,0.8,0.74,0.554,0.14,0.6,0.366,0.254
diningtable,400,44,0.406,0.386,0.331,0.182,0.304,0.386,0.33,0.164
toilet,400,22,0.485,0.455,0.535,0.427,0.364,0.591,0.48,0.312
tv,400,18,0.581,0.463,0.49,0.325,0.468,0.444,0.471,0.338
laptop,400,16,0.374,0.375,0.43,0.384,0.336,0.25,0.333,0.265
mouse,400,8,0.315,0.375,0.214,0.16,0.208,0.25,0.192,0.106
remote,400,15,0.435,0.0667,0.0797,0.0261,1,0,0.00773,0.00228
keyboard,400,8,0.272,0.5,0.438,0.303,0.4,0.625,0.361,0.192
cellphone,400,23,0.417,0.217,0.275,0.213,0.399,0.13,0.176,0.124
microwave,400,2,0.427,0.5,0.496,0.397,0.141,0.5,0.496,0.446
oven,400,13,0.671,0.308,0.405,0.24,0.342,0.231,0.243,0.17
toaster,400,1,1,0,0.199,0.0796,1,0,0.332,0.0995
sink,400,19,0.515,0.421,0.463,0.294,0.456,0.368,0.295,0.192
refrigerator,400,7,0.294,0.362,0.388,0.329,0.452,0.286,0.401,0.321
book,400,66,0.108,0.0152,0.0295,0.0143,0.381,0.0378,0.0512,0.019
clock,400,20,0.365,0.45,0.401,0.146,0.35,0.4,0.316,0.144
vase,400,35,0.304,0.0571,0.152,0.0861,0.596,0.0846,0.226,0.134
scissors,400,5,1,0,0.14,0.06,1,0,0.0076,0.00466
teddybear,400,6,0.441,0.667,0.712,0.624,0.734,0.468,0.515,0.292
toothbrush,400,15,1,0,0.0134,0.00502,1,0,0.0273,0.0112
