epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/cls_loss,val/dfl_loss,x/lr0,x/lr1,x/lr2,train/box_loss_dropout,train/cls_loss_dropout,train/dfl_loss_dropout,metrics/precision_dropout,metrics/recall_dropout,metrics/mAP_0.5_dropout,metrics/mAP_0.5:0.95_dropout,val/box_loss_dropout,val/cls_loss_dropout,val/dfl_loss_dropout,x/lr0_dropout,x/lr1_dropout,x/lr2_dropout
25,2.0486,2.8916,1.7935,0.31022,0.22714,0.18284,0.11381,0,0,0,0.007624,0.007624,0.007624,2.2774,3.1759,1.8173,0.3787,0.17109,0.15535,0.089867,0,0,0,0.007624,0.007624,0.007624
26,2.0354,2.8813,1.7797,0.33588,0.22297,0.18827,0.1172,0,0,0,0.007525,0.007525,0.007525,2.2681,3.1644,1.8061,0.38584,0.1741,0.15944,0.095591,0,0,0,0.007525,0.007525,0.007525
27,2.0246,2.8588,1.7828,0.36967,0.19665,0.18343,0.11184,0,0,0,0.007426,0.007426,0.007426,2.2512,3.1341,1.8099,0.33239,0.18662,0.15919,0.094534,0,0,0,0.007426,0.007426,0.007426
28,2.015,2.8326,1.7703,0.27486,0.21446,0.19431,0.12117,0,0,0,0.007327,0.007327,0.007327,2.2469,3.1173,1.8006,0.31537,0.18666,0.16393,0.09726,0,0,0,0.007327,0.007327,0.007327
29,2.0049,2.8056,1.7605,0.33406,0.19927,0.19642,0.12224,0,0,0,0.007228,0.007228,0.007228,2.2345,3.0858,1.7885,0.29934,0.19817,0.17056,0.098854,0,0,0,0.007228,0.007228,0.007228
30,1.9891,2.7992,1.7601,0.34406,0.20365,0.20608,0.12788,0,0,0,0.007129,0.007129,0.007129,2.223,3.0812,1.7895,0.2851,0.20268,0.16105,0.096587,0,0,0,0.007129,0.007129,0.007129
31,1.9957,2.7781,1.7548,0.37612,0.21471,0.20813,0.13107,0,0,0,0.00703,0.00703,0.00703,2.2283,3.0633,1.7828,0.33469,0.19478,0.17759,0.10368,0,0,0,0.00703,0.00703,0.00703
32,1.9727,2.7497,1.7461,0.37531,0.20459,0.20718,0.13082,0,0,0,0.006931,0.006931,0.006931,2.2073,3.0445,1.776,0.36975,0.19641,0.17425,0.10668,0,0,0,0.006931,0.006931,0.006931
33,1.9753,2.7282,1.7385,0.31723,0.24249,0.21383,0.13583,0,0,0,0.006832,0.006832,0.006832,2.2094,3.0206,1.7727,0.41163,0.18076,0.18111,0.104,0,0,0,0.006832,0.006832,0.006832
34,1.9749,2.7115,1.7401,0.39426,0.22606,0.22471,0.14372,0,0,0,0.006733,0.006733,0.006733,2.2081,3.0104,1.7737,0.41709,0.18131,0.17994,0.10977,0,0,0,0.006733,0.006733,0.006733
35,1.9726,2.7175,1.7333,0.37498,0.24549,0.22929,0.1428,0,0,0,0.006634,0.006634,0.006634,2.2041,3.0167,1.7653,0.31557,0.20844,0.182,0.10816,0,0,0,0.006634,0.006634,0.006634
36,1.9709,2.6899,1.7314,0.36335,0.23111,0.22914,0.14792,0,0,0,0.006535,0.006535,0.006535,2.2019,2.989,1.7621,0.34036,0.21353,0.19107,0.1129,0,0,0,0.006535,0.006535,0.006535
37,1.9483,2.6844,1.7284,0.38661,0.23659,0.23431,0.15075,0,0,0,0.006436,0.006436,0.006436,2.1846,2.9851,1.7638,0.3571,0.2017,0.18961,0.11338,0,0,0,0.006436,0.006436,0.006436
38,1.9595,2.6594,1.7249,0.39217,0.23677,0.23169,0.14829,0,0,0,0.006337,0.006337,0.006337,2.1924,2.9608,1.7577,0.33724,0.21589,0.19643,0.11536,0,0,0,0.006337,0.006337,0.006337
39,1.9402,2.6569,1.7228,0.35549,0.23386,0.23347,0.14932,0,0,0,0.006238,0.006238,0.006238,2.174,2.9589,1.7548,0.36627,0.20027,0.20083,0.12236,0,0,0,0.006238,0.006238,0.006238
40,1.9368,2.6438,1.7146,0.3926,0.24188,0.24605,0.15782,0,0,0,0.006139,0.006139,0.006139,2.1717,2.9455,1.7446,0.37758,0.20948,0.20643,0.12644,0,0,0,0.006139,0.006139,0.006139
41,1.9294,2.6437,1.7172,0.37381,0.25634,0.24898,0.1619,0,0,0,0.00604,0.00604,0.00604,2.1643,2.9492,1.7469,0.41613,0.20539,0.20128,0.12379,0,0,0,0.00604,0.00604,0.00604
42,1.93,2.6205,1.7073,0.46186,0.21634,0.24478,0.15712,0,0,0,0.005941,0.005941,0.005941,2.1646,2.9251,1.7386,0.42373,0.20636,0.21063,0.13112,0,0,0,0.005941,0.005941,0.005941
43,1.917,2.6032,1.701,0.42043,0.25148,0.25444,0.16156,0,0,0,0.005842,0.005842,0.005842,2.151,2.9105,1.7341,0.39955,0.21263,0.20199,0.12863,0,0,0,0.005842,0.005842,0.005842
44,1.9186,2.5975,1.7053,0.3912,0.25204,0.25304,0.16383,0,0,0,0.005743,0.005743,0.005743,2.1518,2.9075,1.7381,0.48044,0.1977,0.20801,0.12963,0,0,0,0.005743,0.005743,0.005743
45,1.9008,2.5853,1.6945,0.36711,0.25686,0.25538,0.16438,0,0,0,0.005644,0.005644,0.005644,2.1326,2.8881,1.7263,0.42935,0.20933,0.21187,0.13068,0,0,0,0.005644,0.005644,0.005644
46,1.902,2.5761,1.6931,0.37162,0.26881,0.25553,0.16312,0,0,0,0.005545,0.005545,0.005545,2.1338,2.8842,1.724,0.43661,0.20677,0.20754,0.12756,0,0,0,0.005545,0.005545,0.005545
47,1.897,2.5469,1.6853,0.39768,0.24879,0.25437,0.16681,0,0,0,0.005446,0.005446,0.005446,2.1273,2.8561,1.7178,0.44904,0.20596,0.2238,0.139,0,0,0,0.005446,0.005446,0.005446
48,1.9,2.5475,1.6902,0.39153,0.24823,0.25786,0.17013,0,0,0,0.005347,0.005347,0.005347,2.1371,2.8562,1.723,0.42629,0.2152,0.22223,0.13517,0,0,0,0.005347,0.005347,0.005347
49,1.887,2.5389,1.6884,0.45946,0.23736,0.26468,0.17135,0,0,0,0.005248,0.005248,0.005248,2.1229,2.8493,1.7231,0.42758,0.21413,0.22514,0.13637,0,0,0,0.005248,0.005248,0.005248
50,1.8856,2.5404,1.6841,0.42212,0.2507,0.26219,0.17052,0,0,0,0.005149,0.005149,0.005149,2.1222,2.8573,1.7186,0.43223,0.21783,0.22772,0.14087,0,0,0,0.005149,0.005149,0.005149
51,1.8891,2.5138,1.6836,0.40091,0.26339,0.26895,0.17811,0,0,0,0.00505,0.00505,0.00505,2.1242,2.8311,1.7183,0.43477,0.21856,0.23172,0.14138,0,0,0,0.00505,0.00505,0.00505
52,1.8743,2.5212,1.6817,0.39504,0.25459,0.26566,0.17385,0,0,0,0.004951,0.004951,0.004951,2.1088,2.8337,1.7164,0.48072,0.21154,0.22862,0.14018,0,0,0,0.004951,0.004951,0.004951
53,1.874,2.5098,1.6734,0.36008,0.28783,0.2668,0.17719,0,0,0,0.004852,0.004852,0.004852,2.1119,2.8264,1.7086,0.43489,0.21526,0.22791,0.14453,0,0,0,0.004852,0.004852,0.004852
54,1.8642,2.4897,1.6759,0.42,0.25602,0.27188,0.17755,0,0,0,0.004753,0.004753,0.004753,2.0957,2.8072,1.7063,0.396,0.23661,0.23358,0.14541,0,0,0,0.004753,0.004753,0.004753
55,1.8642,2.4846,1.6685,0.37944,0.27265,0.2743,0.17732,0,0,0,0.004654,0.004654,0.004654,2.1022,2.8004,1.7062,0.39491,0.24028,0.23498,0.14612,0,0,0,0.004654,0.004654,0.004654
56,1.8674,2.4712,1.6688,0.37355,0.28435,0.2707,0.17827,0,0,0,0.004555,0.004555,0.004555,2.0989,2.784,1.7002,0.37174,0.24375,0.23184,0.14503,0,0,0,0.004555,0.004555,0.004555
57,1.8502,2.4419,1.6626,0.34835,0.29072,0.26979,0.17867,0,0,0,0.004456,0.004456,0.004456,2.088,2.7614,1.6973,0.4431,0.22413,0.23187,0.14395,0,0,0,0.004456,0.004456,0.004456
58,1.8504,2.4526,1.662,0.38913,0.26959,0.26726,0.17672,0,0,0,0.004357,0.004357,0.004357,2.0904,2.7747,1.6985,0.42012,0.22845,0.23622,0.14636,0,0,0,0.004357,0.004357,0.004357
59,1.8514,2.443,1.6607,0.38987,0.28312,0.27593,0.17993,0,0,0,0.004258,0.004258,0.004258,2.0915,2.7617,1.6946,0.39845,0.25073,0.23493,0.14484,0,0,0,0.004258,0.004258,0.004258
60,1.8494,2.4404,1.6551,0.43023,0.27525,0.27408,0.17934,0,0,0,0.004159,0.004159,0.004159,2.0867,2.768,1.6912,0.44948,0.23728,0.23617,0.1457,0,0,0,0.004159,0.004159,0.004159
61,1.8468,2.4125,1.6555,0.45577,0.26902,0.27632,0.18106,0,0,0,0.00406,0.00406,0.00406,2.0878,2.7403,1.6891,0.39313,0.24879,0.23976,0.14852,0,0,0,0.00406,0.00406,0.00406
62,1.8381,2.4048,1.6538,0.39308,0.28131,0.27976,0.18216,0,0,0,0.003961,0.003961,0.003961,2.0786,2.7363,1.6877,0.43771,0.23754,0.24364,0.14996,0,0,0,0.003961,0.003961,0.003961
63,1.8358,2.3944,1.647,0.4128,0.28161,0.27728,0.18073,0,0,0,0.003862,0.003862,0.003862,2.0772,2.7228,1.6837,0.44233,0.23837,0.24055,0.15037,0,0,0,0.003862,0.003862,0.003862
64,1.8299,2.3954,1.6457,0.40673,0.2948,0.28565,0.19065,0,0,0,0.003763,0.003763,0.003763,2.0769,2.727,1.685,0.48225,0.22213,0.24172,0.15188,0,0,0,0.003763,0.003763,0.003763
65,1.826,2.3862,1.6441,0.41677,0.28801,0.28517,0.18815,0,0,0,0.003664,0.003664,0.003664,2.0661,2.7182,1.6804,0.42957,0.24068,0.24192,0.15214,0,0,0,0.003664,0.003664,0.003664
66,1.8252,2.3724,1.6475,0.41265,0.28433,0.28712,0.19162,0,0,0,0.003565,0.003565,0.003565,2.0656,2.7058,1.6819,0.41101,0.25214,0.24359,0.15311,0,0,0,0.003565,0.003565,0.003565
67,1.8181,2.3538,1.6363,0.41027,0.29513,0.28468,0.1899,0,0,0,0.003466,0.003466,0.003466,2.0581,2.688,1.6742,0.38907,0.25704,0.24702,0.15334,0,0,0,0.003466,0.003466,0.003466
68,1.8141,2.3458,1.6379,0.42065,0.28681,0.2867,0.192,0,0,0,0.003367,0.003367,0.003367,2.0518,2.6759,1.6733,0.35581,0.27248,0.25407,0.15599,0,0,0,0.003367,0.003367,0.003367
69,1.8121,2.3547,1.633,0.42873,0.29384,0.29093,0.19597,0,0,0,0.003268,0.003268,0.003268,2.0534,2.685,1.669,0.4075,0.27607,0.25374,0.15659,0,0,0,0.003268,0.003268,0.003268
70,1.8046,2.3338,1.6289,0.42956,0.29057,0.29075,0.19544,0,0,0,0.003169,0.003169,0.003169,2.0486,2.6694,1.6691,0.3897,0.27632,0.25644,0.15836,0,0,0,0.003169,0.003169,0.003169
71,1.802,2.34,1.6311,0.46781,0.27754,0.29168,0.19558,0,0,0,0.00307,0.00307,0.00307,2.0455,2.6678,1.6689,0.38475,0.26681,0.25271,0.15875,0,0,0,0.00307,0.00307,0.00307
72,1.8114,2.3213,1.6325,0.4437,0.28508,0.29123,0.19417,0,0,0,0.002971,0.002971,0.002971,2.0598,2.6551,1.6719,0.39241,0.28345,0.25719,0.15859,0,0,0,0.002971,0.002971,0.002971
73,1.8011,2.3273,1.6248,0.44654,0.28325,0.29449,0.19821,0,0,0,0.002872,0.002872,0.002872,2.0489,2.6602,1.6648,0.40982,0.26714,0.25922,0.16051,0,0,0,0.002872,0.002872,0.002872
74,1.7902,2.3155,1.6278,0.4438,0.28017,0.29546,0.19778,0,0,0,0.002773,0.002773,0.002773,2.0296,2.653,1.6673,0.40576,0.27148,0.2579,0.15999,0,0,0,0.002773,0.002773,0.002773
75,1.7936,2.301,1.6203,0.46915,0.27393,0.29259,0.19809,0,0,0,0.002674,0.002674,0.002674,2.0392,2.6462,1.6606,0.39831,0.27654,0.26091,0.16082,0,0,0,0.002674,0.002674,0.002674
76,1.8024,2.298,1.6221,0.43292,0.27635,0.29258,0.1974,0,0,0,0.002575,0.002575,0.002575,2.0473,2.6358,1.6649,0.40157,0.27795,0.26054,0.16119,0,0,0,0.002575,0.002575,0.002575
77,1.7877,2.2952,1.6235,0.42728,0.28077,0.29259,0.19664,0,0,0,0.002476,0.002476,0.002476,2.0368,2.6423,1.667,0.40232,0.27082,0.26146,0.16184,0,0,0,0.002476,0.002476,0.002476
78,1.7842,2.2921,1.6216,0.40075,0.29696,0.29436,0.19734,0,0,0,0.002377,0.002377,0.002377,2.0294,2.6338,1.6634,0.40959,0.26868,0.26309,0.16188,0,0,0,0.002377,0.002377,0.002377
79,1.7824,2.285,1.6169,0.42261,0.28282,0.29298,0.19491,0,0,0,0.002278,0.002278,0.002278,2.0281,2.6259,1.6594,0.40449,0.26121,0.26005,0.16134,0,0,0,0.002278,0.002278,0.002278
80,1.7778,2.2649,1.6103,0.39766,0.29468,0.29276,0.19664,0,0,0,0.002179,0.002179,0.002179,2.0264,2.6137,1.6531,0.40459,0.25823,0.25983,0.161,0,0,0,0.002179,0.002179,0.002179
81,1.764,2.2624,1.6066,0.39989,0.29846,0.29647,0.1991,0,0,0,0.00208,0.00208,0.00208,2.0118,2.6106,1.6498,0.42123,0.2561,0.25833,0.16084,0,0,0,0.00208,0.00208,0.00208
