               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.1717,              2.9455,              1.7446,             0.37758,             0.20948,             0.20643,             0.12644,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.1643,              2.9492,              1.7469,             0.41613,             0.20539,             0.20128,             0.12379,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.1646,              2.9251,              1.7386,             0.42373,             0.20636,             0.21063,             0.13112,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,               2.151,              2.9105,              1.7341,             0.39955,             0.21263,             0.20199,             0.12863,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.1518,              2.9075,              1.7381,             0.48044,              0.1977,             0.20801,             0.12963,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.1326,              2.8881,              1.7263,             0.42935,             0.20933,             0.21187,             0.13068,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.1338,              2.8842,               1.724,             0.43661,             0.20677,             0.20754,             0.12756,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.1273,              2.8561,              1.7178,             0.44904,             0.20596,              0.2238,               0.139,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.1371,              2.8562,               1.723,             0.42629,              0.2152,             0.22223,             0.13517,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.1229,              2.8493,              1.7231,             0.42758,             0.21413,             0.22514,             0.13637,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.1222,              2.8573,              1.7186,             0.43223,             0.21783,             0.22772,             0.14087,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.1242,              2.8311,              1.7183,             0.43477,             0.21856,             0.23172,             0.14138,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.1088,              2.8337,              1.7164,             0.48072,             0.21154,             0.22862,             0.14018,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.1119,              2.8264,              1.7086,             0.43489,             0.21526,             0.22791,             0.14453,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.0957,              2.8072,              1.7063,               0.396,             0.23661,             0.23358,             0.14541,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.1022,              2.8004,              1.7062,             0.39491,             0.24028,             0.23498,             0.14612,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.0989,               2.784,              1.7002,             0.37174,             0.24375,             0.23184,             0.14503,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,               2.088,              2.7614,              1.6973,              0.4431,             0.22413,             0.23187,             0.14395,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.0904,              2.7747,              1.6985,             0.42012,             0.22845,             0.23622,             0.14636,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.0915,              2.7617,              1.6946,             0.39845,             0.25073,             0.23493,             0.14484,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.0867,               2.768,              1.6912,             0.44948,             0.23728,             0.23617,              0.1457,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.0878,              2.7403,              1.6891,             0.39313,             0.24879,             0.23976,             0.14852,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.0786,              2.7363,              1.6877,             0.43771,             0.23754,             0.24364,             0.14996,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.0772,              2.7228,              1.6837,             0.44233,             0.23837,             0.24055,             0.15037,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              2.0769,               2.727,               1.685,             0.48225,             0.22213,             0.24172,             0.15188,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.0661,              2.7182,              1.6804,             0.42957,             0.24068,             0.24192,             0.15214,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
